,precision,recall,f1-score,support
A,0.7669376693766937,0.6027689030883919,0.6750149075730472,1878.0
B,0.6880081300813008,0.6961439588688946,0.692052133912599,1945.0
C,0.5454545454545454,0.7473309608540926,0.6306306306306306,1405.0
D,0.4838709677419355,0.6773211567732116,0.5644820295983086,1971.0
E,0.8440191387559809,0.8493018777082331,0.8466522678185745,2077.0
F,0.8798868740642156,0.8673335519842571,0.8735651168552316,6098.0
G,0.9202639538080836,0.7882094355914907,0.8491331923890064,12739.0
H,0.7157894736842105,0.6661828737300436,0.6900958466453675,2756.0
I,0.3719806763285024,0.4597014925373134,0.41121495327102797,670.0
J,0.6385376580538757,0.8825987841945289,0.7409888357256779,2632.0
accuracy,0.7735214070410582,0.7735214070410582,0.7735214070410582,0.7735214070410582
macro avg,0.6854749087349343,0.7236892995330457,0.6973829914419472,34171.0
weighted avg,0.7972535906263518,0.7735214070410582,0.7796861339035623,34171.0
