,precision,recall,f1-score,support
A,0.5628612716763006,0.41480298189563364,0.477621091354997,1878.0
B,0.5358758888170653,0.42622107969151674,0.47479954180985107,1945.0
C,0.583916083916084,0.47544483985765124,0.5241271086700667,1405.0
D,0.4445997902831178,0.6453576864535768,0.5264900662251656,1971.0
E,0.8914319248826291,0.7313432835820896,0.8034911399100767,2077.0
F,0.7750963872626018,0.8901279107904231,0.8286390351881537,6098.0
G,0.8398443832063544,0.8134076458120731,0.8264146428998684,12739.0
H,0.5898936170212766,0.40239477503628446,0.4784296807592752,2756.0
I,0.22008547008547008,0.46119402985074626,0.29797492767598843,670.0
J,0.6875430144528561,0.7591185410334347,0.7215601300108342,2632.0
accuracy,0.7103391764946885,0.7103391764946885,0.7103391764946885,0.7103391764946885
macro avg,0.6131147831603756,0.601941277400343,0.5959547364504277,34171.0
weighted avg,0.7215380620757235,0.7103391764946885,0.7100025682763775,34171.0
